TransactionAmount,TransactionType,Location,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,LoginAttempts_Binned,cluster
14.09,Debit,San Diego,M015,ATM,70,Doctor,81,1,5112.21,Sangat Rendah,0
376.24,Debit,Houston,M052,ATM,68,Doctor,141,1,13758.91,Sangat Rendah,0
126.29,Debit,Mesa,M009,Online,19,Student,56,1,1122.35,Sangat Rendah,0
184.5,Debit,Raleigh,M002,Online,26,Student,25,1,8569.06,Sangat Rendah,0
13.45,Credit,Atlanta,M091,Online,26,Student,198,1,7429.4,Sangat Rendah,0
92.15,Debit,Oklahoma City,M054,ATM,18,Student,172,1,781.68,Sangat Rendah,0
7.08,Credit,Seattle,M019,ATM,37,Doctor,139,1,13316.71,Sangat Rendah,0
171.42,Credit,Indianapolis,M020,Branch,67,Retired,291,1,2796.24,Sangat Rendah,0
106.23,Credit,Detroit,M035,Branch,51,Engineer,86,1,9095.14,Sangat Rendah,0
815.96,Debit,Nashville,M007,ATM,55,Doctor,120,1,1021.88,Sangat Rendah,0
17.78,Credit,Albuquerque,M073,Online,52,Engineer,59,1,7599.52,Sangat Rendah,0
190.02,Debit,Memphis,M030,Online,21,Student,173,1,1528.81,Sangat Rendah,0
494.52,Credit,Mesa,M057,Branch,24,Student,111,1,1620.02,Sangat Rendah,0
781.76,Debit,Memphis,M025,ATM,26,Student,123,1,189.69,Sangat Rendah,0
166.99,Debit,Louisville,M017,Online,18,Student,134,1,299.93,Sangat Rendah,0
465.45,Debit,Denver,M025,ATM,36,Engineer,129,1,3465.54,Sangat Rendah,0
555.8,Credit,Austin,M048,Branch,19,Student,158,1,1131.26,Sangat Rendah,0
492.93,Debit,Columbus,M059,Online,39,Engineer,234,1,5109.97,Sangat Rendah,0
18.68,Credit,Albuquerque,M054,Branch,59,Retired,106,1,7948.37,Sangat Rendah,0
71.48,Credit,Columbus,M039,Online,18,Student,169,1,6568.59,Sangat Rendah,0
59.32,Debit,Los Angeles,M040,Branch,71,Retired,38,1,5750.89,Sangat Rendah,0
85.77,Debit,Las Vegas,M065,Branch,38,Doctor,93,1,9146.19,Sangat Rendah,0
52.2,Debit,Atlanta,M022,Online,39,Engineer,120,1,8974.93,Sangat Rendah,0
345.84,Debit,Fort Worth,M083,Online,22,Student,142,3,1402.5,Rendah,1
145.54,Debit,Raleigh,M028,Online,21,Student,96,1,1930.96,Sangat Rendah,0
7.49,Credit,Houston,M043,Online,65,Retired,276,1,3634.67,Sangat Rendah,0
246.93,Debit,Miami,M029,ATM,23,Student,158,5,673.35,Sedang,1
40.32,Debit,Milwaukee,M008,Branch,37,Engineer,95,1,2686.52,Sangat Rendah,0
127.45,Debit,Las Vegas,M092,Online,44,Doctor,197,1,1772.06,Sangat Rendah,0
56.17,Debit,Detroit,M043,Branch,27,Student,283,1,1351.69,Sangat Rendah,0
28.31,Credit,Miami,M091,Online,59,Doctor,20,1,8334.47,Sangat Rendah,0
